Midterm_Grade,Pass_Fail
54.28571429,1
65.71428571,1
71.42857143,1
68.57142857,1
40,0
68.57142857,1
77.14285714,1
48.57142857,0
82.85714286,1
62.85714286,1
80,1
85.71428571,1
65.71428571,1
54.28571429,1
17.14285714,1
57.14285714,1
68.57142857,1
85.71428571,1
71.42857143,1
71.42857143,1
20,0
51.42857143,1
68.57142857,1
54.28571429,0
34.28571429,1
74.28571429,1
25.71428571,0
85.71428571,1
42.85714286,0
85.71428571,1
82.85714286,1
71.42857143,1
51.42857143,1
62.85714286,1
80,1
48.57142857,1
74.28571429,1
34.28571429,1
100,1
71.42857143,1
94.28571429,1
62.85714286,1
88.57142857,1
54.28571429,1
51.42857143,0
71.42857143,1
68.57142857,1
71.42857143,1
62.85714286,1
60,1
68.57142857,1
37.14285714,1
88.57142857,1
48.57142857,1
62.85714286,1
60,1
62.85714286,1
25.71428571,0
57.14285714,1
80,1
71.42857143,1
71.42857143,1
82.85714286,1
62.85714286,1
37.14285714,1
97.14285714,1
88.57142857,1
0,0
71.42857143,1
80,1
65.71428571,1
65.71428571,1
85.71428571,1
68.57142857,1
80,1
85.71428571,1
34.28571429,0
65.71428571,1
71.42857143,0
77.14285714,1
65.71428571,1
74.28571429,1
57.14285714,1
88.57142857,1
0,0
65.71428571,1
60,1
65.71428571,1
25.71428571,0
62.85714286,1
68.57142857,1
